title,imdb_id,existing_budget,scraped_budget,scraped_boxoffice,release_year,budget_difference
Outlaw of Gor,tt0098048,,,,,
Rudaali,tt0108001,,,,,
Sandokan the Great,tt0057469,,,,,
You've Got Mail,tt0128853,,65000000.0,250821575.0,,
O Pagador de Promessas,tt0056322,,,8229.0,,
Mr. Magoo's Christmas Carol,tt0123179,,,,,
The Three Musketeers,tt1509767,,75000000.0,132274484.0,,
Hubertus Castle,tt0070647,,,,,
Polleke,tt0328270,,3200000.0,611598.0,,
Frenchman's Creek,tt0179817,,,,,
Dorothy of Oz,tt2342071,,5000000.0,,,
The Harvest Month,tt0125730,,14373000.0,,,
A Chinese Tall Story,tt0469050,,,1329954.0,,
The Snapper,tt28636198,,,,,
Journey to the Center of the Earth,tt0373051,,60000000.0,244232688.0,,
Blood from the Mummy's Tomb,tt0068290,,,,,
The Man from Mexico,tt0023184,,,,,
Towelhead,tt0787523,,,691733.0,,
The Running Man,tt0093894,,27000000.0,38123906.0,,
Tenchi Muyo! Daughter of Darkness,tt0099368,,,,,
Barney's Version,tt1423894,,30000000.0,12106921.0,,
Love and Other Impossible Pursuits,tt1032825,,,1451343.0,,
Mercury Rising,tt0120749,,60000000.0,93107289.0,,
Barnaby Rudge,tt0224833,,,,,
Lost Horizon,tt0029162,,4000000.0,,,
Doctor Dolittle,tt0118998,,71500000.0,294456605.0,,
Daddy Long Legs,tt0047969,,,,,
Diary of a Chambermaid,tt0038477,,,,,
Lorna Doone,tt0259786,,2500000.0,,,
En helt vanlig dag på jobben,tt1621782,,17500000.0,369406.0,,
The Scarlet Letter,tt0114345,,46000000.0,10382407.0,,
Carlito's Way,tt0106519,,30000000.0,63848322.0,,
Madame Doesn't Want Children,tt0017099,,,,,
The Magnificent Ambersons,tt0035015,,850000.0,,,
Enigma,tt0157583,,,15713204.0,,
Paper Moon,tt0070510,,2500000.0,591.0,,
The Little Minister,tt0025409,,650000.0,,,
Contempt,tt0057345,,900000.0,1174678.0,,
The Magician of Lublin,tt0079504,,6000000.0,,,
Hotel Paradiso,tt0060520,,,,,
The black horses,tt5870742,,491000.0,,,
Seeta Bibaha,tt0265723,,,,,
St. Peter's Umbrella,tt0052263,,,,,
The Go-Between,tt0067144,,1000000.0,3379.0,,
Doctor Zhivago,tt0059113,,11000000.0,111926200.0,,
9½ Weeks,tt0091635,,17000000.0,6740470.0,,
Margin for Error,tt0036142,,,,,
Brave Hearts: Umizaru,tt2053339,,,91884352.0,,
Ping Pong,tt3592032,,,,,
The Loved One,tt0059410,,4000000.0,,,
A Christmas Carol,tt1067106,,200000000.0,325286646.0,,
The Famous Mrs. Fair,tt0014036,,,,,
La ragazza di Bube,tt0057444,,,,,
Elling,tt0279064,,15500000.0,2042190.0,,
Touch,tt23468836,,,2857295.0,,
The Scapegoat,tt2084977,,,,,
Cheaper by the Dozen 2,tt0452598,,60000000.0,130154568.0,,
Gervaise,tt0049259,,,,,
Valley of the Dolls,tt0062430,,4690000.0,,,
The Girl Who Played with Fire,tt1216487,,4000000.0,67153225.0,,
Effi Briest,tt0071458,,750000.0,8148.0,,
Road to Life,tt0022289,,,,,
Not Quite Human II,tt0098003,,,,,
Brother of Sleep,tt0114354,,,97848.0,,
Bajarse al moro,tt0094705,,,,,
8 Million Ways to Die,tt0090568,,18000000.0,1305114.0,,
Mutiny on the Bounty,tt0056264,,19000000.0,,,
Cheerful Weather for the Wedding,tt1159922,,,170922.0,,
Simon Birch,tt0124879,,30000000.0,18253415.0,,
The Three Musketeers,tt1509767,,75000000.0,132274484.0,,
Delusions of Grandeur,tt0067108,,20000000.0,,,
Black Robe,tt0101465,,11000000.0,8212122.0,,
The Beastmaster,tt0083630,,8000000.0,14056528.0,,
La Chute de la maison Usher,tt0018770,,,,,
Nynne,tt0425314,,,157172.0,,
L'étoile du nord,tt0084962,,,781151.0,,
With Fire and Sword,tt12950078,,,,,
Poison Pen,tt10485690,,,,,
Pickpocket,tt0144020,,,1569.0,,
Psycho,tt0054215,,806947.0,32066765.0,,
Into the Wild,tt0758758,,15000000.0,56676733.0,,
Outcast,tt4229954,,,,,
Great Expectations,tt0119223,,25000000.0,55494066.0,,
Jeder stirbt für sich allein,tt0073200,,,,,
Babylon A.D.,tt0364970,,70000000.0,72109200.0,,
King of the Wind,tt0097668,,,,,
Curse of the Golden Flower,tt0997493,,80000.0,,,
Tess,tt0080009,,12000000.0,20101247.0,,
The Big Bounce,tt0315824,,50000000.0,6808550.0,,
Norwood,tt0066162,,,,,
Rickshaw Boy,tt0084280,,,,,
The Old Man and the Sea,tt0052027,,5000000.0,67740.0,,
The Three Musketeers,tt1509767,,75000000.0,132274484.0,,
Il Postino,tt0110877,,3000000.0,21898920.0,,
Donovan's Brain,tt0045699,,,,,
Shalako,tt0063592,,1455000.0,,,
Letter from an Unknown Woman,tt0040536,,,852.0,,
Charley's Aunt,tt0033457,,,,,
Der Postmeister,tt0032935,,,,,
Eline Vere,tt0101805,,,,,
The Descendants,tt1033575,,20000000.0,177243185.0,,
The Amityville Curse,tt0099030,,,,,
Pet Sematary,tt0098084,,11500000.0,57470138.0,,
Where Angels Fear to Tread,tt0103243,,,1403033.0,,
The Holcroft Covenant,tt0089283,,13000000.0,393825.0,,
Under Two Flags,tt0028442,,1500000.0,,,
What to Expect When You're Expecting,tt1586265,,40000000.0,84384002.0,,
Vidas Secas,tt0057654,,,,,
Deadline,tt0044533,,,5228.0,,
Headhunters,tt33796461,,,,,
Doctor in Trouble,tt0065648,,,,,
The End Of America,tt1294790,,,,,
Close to Leo,tt0346039,,,,,
Gone Baby Gone,tt0452623,,19000000.0,34612443.0,,
Crime and Punishment,tt0026246,,,,,
Cheaper by the Dozen,tt0349205,,40000000.0,190538630.0,,
A Connecticut Yankee,tt0041259,,,,,
Gikor,tt0084002,,,,,
Anywhere But Here,tt0149691,,23000000.0,23631929.0,,
Not Reconciled,tt0059503,,117000.0,,,
Don't Drink the Water,tt0109644,,,,,
Doctor Zhivago,tt0059113,,11000000.0,111926200.0,,
Wharf of Widows,tt0286498,,,,,
Ship of Fools,tt0059712,,4000000.0,206.0,,
The Moth Diaries,tt1407065,,,413035.0,,
Julie & Julia,tt1135503,,40000000.0,129540522.0,,
Crime and Punishment,tt0026246,,,,,
Thais,tt0088253,,,,,
Youth Without Youth,tt0481797,,5000000.0,2624759.0,,
A Streetcar Named Desire,tt0044081,,1800000.0,53162.0,,
My Antonia,tt0113892,,,,,
The Piano Lesson,tt15507512,,,,,
Dangerous Liaisons,tt0094947,,14000000.0,34670720.0,,
Ivanhoe,tt0084157,,,,,
Soylent Green,tt0070723,,4000000.0,210.0,,
The Idiot,tt0043614,,,,,
The Walking Stick,tt0066543,,,,,
The Miracle Worker,tt0056241,,500000.0,4139.0,,
Tom and Huck,tt0112302,,,23920048.0,,
Vampires,tt0120877,,20000000.0,20308772.0,,
We Need to Talk about Kevin,tt1242460,,7000000.0,9212174.0,,
I Am Omega,tt1075746,,,,,
Les Misérables,tt1707386,,61000000.0,442757529.0,,
Bunny Drop,tt2061551,,,,,
The Bounty,tt0086993,,25000000.0,8613462.0,,
The Wind in the Willows,tt0118172,,,,,
Charlie St. Cloud,tt1438254,,44000000.0,48190704.0,,
Sansho the Bailiff,tt0047445,,,5267.0,,
The Ugly Dachshund,tt0061135,,,,,
Tomorrow Never Dies,tt0120347,,110000000.0,333011068.0,,
Submarino,tt1322385,,,815998.0,,
I Am a King,tt8116274,,,,,
"Turn Me On, Goddammit",tt18161082,,,,,
Hearts in Atlantis,tt0252501,,31000000.0,30919415.0,,
House on Fire,tt29793197,,,3194506.0,,
I Dreamed of Africa,tt0167203,,50000000.0,14400327.0,,
The Screaming Skull,tt0052169,,,,,
12 Angry Men,tt0050083,,350000.0,2945.0,,
The Legend of Hell House,tt0070294,,,,,
Pay It Forward,tt0223897,,40000000.0,55707411.0,,
Beauty and the Beast,tt2771200,,160000000.0,1266115964.0,,
The Invasion,tt0427392,,80000000.0,40170558.0,,
Fruits of Passion,tt0082422,,,,,
The Spirit of St. Louis,tt0051003,,6000000.0,,,
Faustina,tt10052290,,,3498887.0,,
Portrait of Hell,tt0064512,,,,,
Men in Black 3,tt27550773,,,,,
Black Tights,tt0053726,,,,,
Funny Dirty Little War,tt0086017,,,,,
The Patchwork Girl of Oz,tt0004457,,,,,
Dorothy Vernon of Haddon Hall,tt0014854,,750000.0,,,
The Man of Gold,tt8417218,,20.0,,,
The Saint Meets the Tiger,tt0036324,,,,,
Practical Magic,tt0120791,,75000000.0,46733898.0,,
The Blue Lagoon,tt0080453,,4500000.0,58853106.0,,
The Secret Garden,tt0108071,,18000000.0,31181347.0,,
Katzelmacher,tt0064536,,80000.0,8148.0,,
The Little Golden Calf,tt0063845,,,,,
M'Liss,tt0009326,,,,,
Remo Williams: The Adventure Begins,tt0089901,,,14393902.0,,
Escape from Alcatraz,tt0079116,,8000000.0,43005351.0,,
Chapayev,tt0024966,,,,,
Cheech & Chong's The Corsican Brothers,tt0087042,,,3772785.0,,
Strangers of the Night,tt33087246,,,,,
Un homme qui dort,tt0192718,,,,,
Muži v offsidu,tt0166723,,,,,
The Southern Star,tt0065025,,,,,
Marathon Man,tt0074860,,6500000.0,21709020.0,,
Paprika,tt0098063,,,,,
First Monday in October,tt0082382,,,12480249.0,,
The Search for Signs of Intelligent Life in the Universe,tt0102864,,,579854.0,,
The Secret of Queen Anne or Musketeers Thirty Years After,tt0149244,,,,,
Labyrinth,tt0091369,,25000000.0,14699654.0,,
The Sicilian,tt0093966,,9000000.0,5406879.0,,
Slumdog Millionaire,tt1010048,,15000000.0,378411362.0,,
102 Dalmatians,tt0211181,,85000000.0,183611771.0,,
Polly,tt0343135,,42000000.0,178311729.0,,
Royal Flash,tt0073639,,3500000.0,,,
The Learning Tree,tt0064579,,2000000.0,,,
Diary of a Wimpy Kid: Rodrick Rules,tt1650043,,21000000.0,72526996.0,,
Beverly Hills Family Robinson,tt0118707,,,,,
Peter Ibbetson,tt0026866,,,,,
Billy Bathgate,tt0101453,,48000000.0,15565363.0,,
Želary,tt0288330,,,15461305.0,,
2001: A Space Odyssey,tt0062622,,12000000.0,66778448.0,,
Stella Dallas,tt0029608,,,,,
The Girl with the Dragon Tattoo,tt1568346,,90000000.0,232617430.0,,
They Live by Night,tt0040872,,808397.0,,,
War of the Buttons,tt0111666,,,12712.0,,
Greed,tt0015881,,546883.0,,,
The Human Resources Manager,tt1311075,,2300000.0,609146.0,,
And Then There Were None,tt3581932,,,,,
The Kill-Off,tt0097665,,3000000.0,,,
Hellboy: Blood and Iron,tt0817910,,,,,
Cartier Project,tt1158804,,,,,
Jewel,tt0089370,,25000000.0,96773200.0,,
Little Women,tt3281548,,40000000.0,218843645.0,,
Toki o Kakeru Shōjo,tt0808506,,,1421529.0,,
Fanny,tt0083922,,6000000.0,6813882.0,,
Crimes of the Heart,tt0090886,,20000000.0,22905522.0,,
Congo,tt0112715,,50000000.0,152022101.0,,
Batman,tt1877830,,185000000.0,772319315.0,,
Les Misérables,tt1707386,,61000000.0,442757529.0,,
Factotum,tt0417658,,1000000.0,2708087.0,,
Judge Dredd,tt0113492,,90000000.0,113493481.0,,
What Maisie Knew,tt1932767,,6000000.0,2711379.0,,
Citizen X,tt0112681,,,,,
When A Man Loves,tt0111693,,,50021959.0,,
About a Boy,tt0276751,,30000000.0,130549455.0,,
La Chamade,tt0062789,,,,,
The Old Maid,tt0031750,,,,,
The Comfort of Strangers,tt0099292,,,1244381.0,,
Those Calloways,tt0059796,,,,,
My Uncle Benjamin,tt0122617,,,,,
Autumn Crocus,tt0024848,,,,,
Crusade in Jeans,tt0381111,,11000000.0,4782551.0,,
Ebbie,tt0112929,,,,,
Orfeu,tt0053146,,,,,
Zoot Suit,tt0083365,,2700000.0,3256082.0,,
The Crimson Rivers,tt0228786,,14000000.0,60103680.0,,
The Bonfire of the Vanities,tt0099165,,47000000.0,15691192.0,,
Barefoot Gen,tt0085218,,,,,
The Day of the Jackal,tt24053860,,,,,
Where Love Has Gone,tt0058745,,,,,
Raavanan,tt1664806,,550000000.0,1013921.0,,
The Thousand Eyes of Dr. Mabuse,tt4840080,,,,,
Ciulinii Bărăganului,tt0154341,,,,,
Red Dust,tt0023382,,408000.0,,,
Double Indemnity,tt0036775,,927262.0,19543.0,,
I Give My First Love to You,tt1401656,,,24051386.0,,
Oliver Twist,tt0380599,,60000000.0,42580321.0,,
Blanche Fury,tt0039195,,1500000.0,,,
Tarzan in Manhattan,tt0098444,,,,,
Kiss the Blood Off My Hands,tt0040512,,1100000.0,,,
Le Prix du Danger,tt0084540,,,,,
Cat's Eye,tt0088889,,7000000.0,13086757.0,,
Shanghai Surprise,tt0091934,,17000000.0,2315683.0,,
The Serpent and the Rainbow,tt0096071,,7000000.0,19595031.0,,
Song of the South,tt0038969,,,37459346.0,,
The Turn of the Screw,tt1577883,,,,,
A Farewell to Arms,tt0022879,,799520.0,,,
The Letter,tt21108608,,,,,
Barbed Wire,tt0073017,,,,,
1st to Die,tt0252133,,,,,
Love from a Stranger,tt0029171,,,,,
Li'l Abner,tt0053001,,,,,
Lotta flyttar hemifrån,tt0107444,,,,,
The Power,tt7631058,,,,,
Sideways,tt0375063,,16000000.0,109706931.0,,
The Black Stallion,tt0078872,,2700000.0,37799643.0,,
The Omega Man,tt0067525,,,,,
Der Kahn der fröhlichen Leute,tt0236355,,,,,
The Saint's Vacation,tt0034146,,,,,
The Black Tulip,tt0058692,,,,,
Around the World in 80 Days,tt0327437,,110000000.0,72660444.0,,
Jane Eyre,tt1229822,,,34710627.0,,
The Wanderers,tt0080117,,,14492.0,,
The Bat,tt1877830,,185000000.0,772319315.0,,
The Human Monster,tt0031208,,,,,
Tintomara,tt0066460,,,,,
Quantum of Solace,tt0830515,,200000000.0,589593688.0,,
The Valley of Fear,tt0238597,,,,,
Derailed,tt0398017,,22000000.0,57479076.0,,
Night at the Museum,tt0477347,,110000000.0,574482479.0,,
The Rum Diary,tt0376136,,45000000.0,30134958.0,,
Il Cappotto,tt0044474,,,,,
Devdas,tt0238936,,500000000.0,5428774.0,,
Gates to Paradise,tt0062461,,,,,
The Exorcist,tt0070047,,11000000.0,430872776.0,,
The Sentinel,tt0076683,,3700000.0,,,
The Phantom of the Opera,tt0293508,,70000000.0,154674241.0,,
Les Misérables,tt1707386,,61000000.0,442757529.0,,
Sacrifice,tt0091670,,,258837.0,,
The Thin Red Line,tt0120863,,52000000.0,98126565.0,,
The Borrowers,tt0118755,,29000000.0,22619589.0,,
The Last Hurrah,tt0051845,,2300000.0,,,
Three Sad Tigers,tt0063718,,,,,
Destry Rides Again,tt0031225,,,,,
Across to Singapore,tt0018618,,290000.0,,,
First Blood,tt0083944,,15000000.0,125212904.0,,
Janumada Jodi,tt0245978,,,,,
I Am a Camera,tt0048188,,,,,
V2: Dead Angel,tt0489325,,1526000.0,2093170.0,,
The Thief Lord,tt0430674,,,5141916.0,,
L'Argent,tt23049322,,,3641429.0,,
Paris at Midnight,tt1605783,,17000000.0,151672318.0,,
Hayate the Combat Butler! Heaven Is a Place on Earth,tt3818654,,,,,
The Da Vinci Code,tt0382625,,125000000.0,760006945.0,,
The Wages of Fear,tt5267458,,,,,
The Boys in the Band,tt10199914,,,,,
Wolfen,tt0083336,,17000000.0,10626725.0,,
The Passing of Mr. Quinn,tt18399030,,180000.0,,,
Switching Channels,tt0096203,,18000000.0,9129999.0,,
Confessions of a Teenage Drama Queen,tt0361467,,15000000.0,33251890.0,,
The Book of Revelation,tt0424863,,,76570.0,,
Ben-Hur,tt0052618,,15000000.0,74439376.0,,
Roxanne,tt0093886,,12000000.0,40050884.0,,
Point Blank,tt0062138,,2500000.0,,,
Triumph of the Nerds,tt0115398,,,,,
Winnetou - 3. Teil,tt0059915,,,,,
Stand by Me,tt0092005,,8000000.0,53522503.0,,
Brewster's Millions,tt31955992,,10000000.0,,,
This Sweet Sickness,tt0075946,,,,,
Brewster's Millions,tt31955992,,10000000.0,,,
Camille 2000,tt0064122,,500000.0,,,
The Garden of the Finzi-Continis,tt4895994,,,,,
The Sea Beast,tt9288046,,,,,
The Lost World,tt0119567,,73000000.0,618638999.0,,
Doña Bárbara,tt1287391,,,,,
Stalker,tt0079944,,1000000.0,438245.0,,
Fine Things,tt0099574,,,,,
Corinna Schmidt,tt0230104,,,,,
Aquamarine,tt0429591,,12000000.0,22989957.0,,
Love in the Time of Cholera,tt0484740,,45000000.0,31575877.0,,
21,tt0478087,,35000000.0,159808370.0,,
Howling III,tt0093227,,,,,
Der Jäger von Fall,tt0132262,,,,,
"20,000 Leagues Under the Sea",tt0046672,,9000000.0,746.0,,
Voyage of the Unicorn,tt0249326,,,,,
Straw Dogs,tt0067800,,3251794.0,,,
Viy,tt1224378,,26000000.0,38885962.0,,
The Fountainhead,tt0041386,,2375000.0,,,
A Christmas Story,tt0085334,,3300000.0,20792619.0,,
Becket,tt0057877,,3000000.0,149327.0,,
The First Great Train Robbery,tt0079240,,6000000.0,13027857.0,,
Es geschah am hellichten Tag,tt0051588,,,,,
A Christmas Carol,tt1067106,,200000000.0,325286646.0,,
Castaway,tt0092732,,,,,
Common Clay,tt0020781,,,,,
M. Butterfly,tt0107468,,,1498795.0,,
Dark Water,tt0382628,,30000000.0,68357079.0,,
The Dull Ice Flower,tt0097791,,,,,
The Old Dark House,tt0023293,,,34649.0,,
White Deer Plain,tt1727396,,,,,
The Informer,tt1833116,,60000000.0,2927708.0,,
Murder!,tt0086765,,,,,
Great Expectations,tt0119223,,25000000.0,55494066.0,,
Water for Elephants,tt1067583,,38000000.0,117094902.0,,
Rosencrantz & Guildenstern Are Dead,tt0100519,,,739104.0,,
Oliver's Story,tt0078024,,,,,
The African Queen,tt0043265,,1000000.0,46305.0,,
Mästerdetektiven lever farligt,tt0116741,,,,,
I Hired a Contract Killer,tt0099818,,,,,
The Reluctant Fundamentalist,tt2032557,,,2176576.0,,
The Sign of Four,tt0685628,,,,,
Kult ciała,tt0151267,,,,,
Eyes Wide Shut,tt0120663,,65000000.0,162284835.0,,
Sabrina,tt33427273,,,,,
I Am Number Four,tt1464540,,60000000.0,149878437.0,,
Murders in the Rue Morgue,tt0091574,,,,,
The Fifth Musketeer,tt0079152,,7000000.0,,,
Under the Volcano,tt0088322,,,2556800.0,,
Saturday Night and Sunday Morning,tt0054269,,100000.0,370.0,,
Seabiscuit,tt0329575,,87000000.0,148336445.0,,
Dracula 2000,tt0219653,,54000000.0,47053625.0,,
Drums Along the Mohawk,tt0031252,,2000000.0,10360.0,,
"Jungfer, Sie gefällt mir",tt0063166,,,,,
Butterflies Are Free,tt0068326,,,,,
Manon 70,tt0063271,,,,,
Mission to Moscow,tt0110857,,6200000.0,126247.0,,
The Agony and the Ecstasy,tt0058886,,10000000.0,,,
Tuesdays with Morrie,tt0207805,,,,,
Hangman's Curse,tt0342508,,2000000.0,168406.0,,
Tom & Viv,tt0111454,,,538534.0,,
Death in Venice,tt0067445,,,5597.0,,
Tom Sawyer,tt0070814,,,,,
The Sign of Four,tt0685628,,,,,
The Miracle Worker,tt0056241,,500000.0,4139.0,,
Spartacus,tt1442449,,,,,
Fukkatsu no hi,tt0080768,,16000000.0,,,
Soldier in the Rain,tt0057517,,,,,
The Conscript,tt0070338,,,,,
Black Hawk Down,tt0265086,,92000000.0,172989651.0,,
Nana,tt0810705,,,,,
Nana,tt0810705,,,,,
Bel Ami,tt1440732,,,9374932.0,,
Adajya,tt0142066,,,,,
Hello,tt31702438,,,243642.0,,
Kidnapped,tt1629377,,,969024.0,,
In the Heat of the Night,tt0094484,,,,,
Devdas,tt0238936,,500000000.0,5428774.0,,
Of Mice and Men,tt0105046,,,5471088.0,,
Peter Pan,tt0316396,,100000000.0,121975011.0,,
The Stork Caliph,tt0879824,,,,,
Of Human Bondage,tt0058425,,,,,
The Battle of the Villa Fiorita,tt0058949,,,,,
Les Misérables,tt1707386,,61000000.0,442757529.0,,
Ernest the Rebel,tt0169865,,,,,
Memories of Matsuko,tt0768120,,,9578449.0,,
The Poseidon Adventure,tt0069113,,5000000.0,84563118.0,,
"Romeo, Juliet and Darkness",tt2456886,,38000.0,,,
Die Hard,tt0095016,,28000000.0,143651650.0,,
The Great Meadow,tt0021928,,,,,
Abar Byomkesh,tt2403809,,,,,
The Mackintosh Man,tt0070351,,,,,
Johnny Tremain,tt0050567,,,,,
The Age of Innocence,tt0106226,,34000000.0,32255953.0,,
Umrao Jaan,tt0083248,,,,,
The Avenging Conscience,tt0003643,,,,,
Groove Room 3D,tt0072773,,,,,
Schindler's List,tt0108052,,22000000.0,322161245.0,,
Nastasja,tt0118617,,50000000.0,139804348.0,,
Uranus,tt28766949,,,12055.0,,
The Counterfeiters,tt0813547,,4200000.0,18814713.0,,
Maya Memsaab,tt0137100,,,,,
Paper Lion,tt0063410,,,,,
The Bat,tt1877830,,185000000.0,772319315.0,,
The Reluctant Dragon,tt0034091,,,,,
Frankenstein: The True Story,tt0070074,,,,,
Tante Pose,tt0033134,,,,,
Sonny Boy,tt14642342,,,,,
The Adventures of Huckleberry Finn,tt0031020,,,,,
The Lost Honour of Katharina Blum,tt30081140,,,,,
"My Son, My Son!",tt13234058,,,962689.0,,
The Raven,tt1486192,,26000000.0,29699345.0,,
Sherlock Holmes: A Game of Shadows,tt1515091,,125000000.0,543848418.0,,
Tennessee's Partner,tt0048707,,,,,
Waterloo Bridge,tt0033238,,,31111.0,,
Casino,tt0112641,,52000000.0,116112375.0,,
Get Carter,tt0067128,,750000.0,60404.0,,
2010: The Year We Make Contact,tt8134014,,,,,
The Inspector General,tt0041509,,2873000.0,,,
My Name is Julia Ross,tt0037932,,175000.0,,,
Hana Yori Dango,tt0489597,,,,,
Miss Julie,tt2667960,,,527094.0,,
Tarzan and the Lost City,tt0120856,,20000000.0,2172941.0,,
Jane Eyre,tt1229822,,,34710627.0,,
Sayonara,tt29103836,,,,,
End of the Game,tt0072939,,,,,
Fail-Safe,tt0058083,,,,,
The Time Machine,tt0268695,,80000000.0,123729176.0,,
And the Band Played On,tt0106273,,8000000.0,,,
Floods of Fear,tt0052812,,,,,
The Danish Girl,tt0810819,,15000000.0,64191523.0,,
Whale Rider,tt0298228,,3500000.0,41062976.0,,
The Honorary Consul,tt0085236,,11800000.0,5997566.0,,
The Wind in the Willows,tt0118172,,,,,
Mutiny on the Bounty,tt0056264,,19000000.0,,,
Heaven Sword and Dragon Sabre,tt0077664,,,,,
The Thirty-Nine Steps,tt0078389,,1500000.0,,,
Scaramouche,tt0045125,,3500000.0,,,
The Ninth Gate,tt0142688,,38000000.0,58401898.0,,
Stuart Little,tt0164912,,133000000.0,300135367.0,,
Dark Passage,tt0039302,,1600000.0,9693.0,,
Kitchen,tt0437005,,,,,
Native Son,tt6566768,,,,,
The Odyssey,tt0118414,,,,,
Neighbors,tt2004420,,18000000.0,270665134.0,,
Tom Brown's School Days,tt0033169,,,,,
The Shawshank Redemption,tt0111161,,25000000.0,29332133.0,,
A Mighty Heart,tt0829459,,16000000.0,19008745.0,,
The Heart of the Bear,tt15540816,,,,,
Prince of Jutland,tt0110891,,,,,
Obama Anak Menteng,tt1686786,,1000000.0,,,
Green Light,tt0028958,,513000.0,,,
Marnie,tt0058329,,3000000.0,8211.0,,
Homecoming,tt0040446,,2654000.0,,,
Dagon,tt0264508,,4200000.0,145046.0,,
Helpless,tt2308725,,,16175929.0,,
"Hard, Fast and Beautiful",tt0043619,,,,,
Summer Rain,tt29763028,,130000.0,5624.0,,
Phantom of the Rue Morgue,tt0047348,,,,,
Runaway Jury,tt0313542,,60000000.0,80154140.0,,
Mother Night,tt0117093,,6000000.0,403701.0,,
Le Corsaire noir,tt0074349,,,,,
Damnation Alley,tt0075909,,7200000.0,,,
Night at the Crossroads,tt6326286,,,,,
The Curse of Frankenstein,tt0050280,,65000.0,,,
Pokrajina St.2,tt1288482,,1200000.0,30032.0,,
Kurosagi,tt0824021,,,,,
Whale Music,tt0111687,,,,,
A Taste of Honey,tt0055506,,121602.0,4597.0,,
Goodfellas,tt0099685,,25000000.0,47055110.0,,
Devil in the Flesh,tt0143213,,,,,
Fire Over England,tt0028872,,,,,
Scent of a Woman,tt0105323,,31000000.0,134095253.0,,
Cinderella,tt1661199,,95000000.0,542358331.0,,
The Bride,tt0093779,,16000000.0,30964149.0,,
The Black Shield of Falworth,tt0046789,,1171750.0,,,
Mandingo,tt0073349,,,,,
My Cousin Rachel,tt4411596,,,9200168.0,,
Friedemann Bach,tt0159449,,,,,
Rain,tt0095953,,25000000.0,354825435.0,,
Eli Sjursdotter,tt0030099,,,,,
The Best Exotic Marigold Hotel,tt1412386,,10000000.0,150501815.0,,
Ivan Vasilievich: Back to the Future,tt0070233,,,,,
Yojimbo,tt0055630,,,66621.0,,
Intersection,tt0110146,,45000000.0,21355893.0,,
Terje Vigen,tt0008663,,60000.0,,,
Snow White,tt6208148,,,,,
The Light in the Forest,tt0051864,,,,,
Lilies of the Field,tt0057251,,240000.0,,,
The Innocent,tt10147644,,,,,
"Tinker, Tailor, Soldier, Spy",tt1340800,,20000000.0,81515369.0,,
The Last Remake of Beau Geste,tt0076297,,6000000.0,,,
Madamigella di Maupin,tt0061933,,,,,
The Ring Two,tt0377109,,50000000.0,163995949.0,,
A Little Princess,tt0113670,,17000000.0,10015449.0,,
Circle of Friends,tt0112679,,,23389975.0,,
The Green Archer,tt0032557,,,,,
Beyond Witch Mountain,tt0249397,,,,,
The Unfaithful,tt0250797,,50000000.0,119137784.0,,
The Return of the Soldier,tt0084590,,,,,
A Season on the Brink,tt0296185,,3000000.0,,,
12,tt0050083,,350000.0,2945.0,,
Back Street,tt0845088,,,,,
My Summer of Love,tt0382189,,1700000.0,2766976.0,,
Cop Hater,tt0051489,,,,,
Helter Skelter,tt2147319,,,25066699.0,,
The Assassination Bureau,tt0064045,,,,,
Eva,tt16757252,,,,,
Baise Moi,tt0249380,,,940944.0,,
Lost Command,tt0060637,,,,,
La montagna di luce,tt0128358,,,,,
One Day in the Life of Ivan Denisovich,tt0067530,,,,,
Samson and Delilah,tt0041838,,3000000.0,,,
Jules Verne's Rocket to the Moon,tt0062363,,3000000.0,,,
Yentl,tt0086619,,12000000.0,40219251.0,,
The Wave,tt1063669,,5000000.0,32350637.0,,
Inspector Maigret,tt0050669,,,8528.0,,
The Wolf of Wall Street,tt0993846,,100000000.0,407039432.0,,
Under the Greenwood Tree,tt0465653,,,,,
Bicentennial Man,tt0182789,,100000000.0,87423861.0,,
The Bostonians,tt0086992,,,1009700.0,,
The Strange Case of Dr. Jekyll and Mr. Hyde,tt0062908,,900000.0,,,
Lorelei: The Witch of the Pacific Ocean,tt34715597,,,,,
Simpatico,tt0174204,,10000000.0,1281813.0,,
"20,000 Leagues Under the Sea",tt0046672,,9000000.0,746.0,,
Sorekara,tt0091989,,,,,
Kristin Lavransdatter,tt0113576,,,,,
Edge of Madness,tt0287140,,,,,
Scrooge,tt0044008,,,24.0,,
The Gruffalo,tt1461418,,,22606.0,,
The Constant Gardener,tt0387131,,25000000.0,82468097.0,,
"C'est pas moi, je le jure!",tt1163752,,,14345.0,,
Rough Cut,tt0081439,,14000000.0,16656125.0,,
Rasen,tt0134928,,2900000.0,,,
The Handmaid's Tale,tt5834204,,,,,
Flatland,tt0292515,,,,,
Barabbas,tt0055774,,,,,
Mysterious Island,tt1397514,,79000000.0,335288576.0,,
Ma and Pa Kettle,tt0041613,,,,,
Soft Hands,tt0226461,,,,,
The Method,tt7255502,,,,,
Witchblade,tt0274298,,,,,
Zaza,tt0014636,,,,,
Scott Pilgrim vs. the World,tt0446029,,60000000.0,51691156.0,,
Witness for the Prosecution,tt0051201,,3000000.0,7903.0,,
Mathilukal,tt0097851,,,,,
